Id, Type, X, Y, Connections, (paths)
0, ST, 1577, 562, 1, 1,
1, A, 1511, 560, 2, 0, 2
2, A, 1511, 538, 0B14, 1, 0B15, 5, 4
0B14, C, 1493, 540, 2, 1  
0B15, C, 1531, 538, 2, 1
5, A, 1510, 460, 2, 0B16, 0B17, 8, 4
0B16, C, 1488, 461, 5, 1
0B17, C, 1532, 464, 5, 1
8, A, 1508, 373, 5, 0B18, 0B19, 11, 4
0B18, C, 1490, 373, 8, 1 
0B19, C, 1530, 373, 8, 1
11, A, 1508, 345, 5, 12, 2
12 ST, 1550, 342, 11, 1
