ID, Type, X, Y, Connections, (paths)
0, ST, 1087, 404, 1, 1
1, A, 1062, 381, 3, 0, 0B22, 3
0B22, C, 1032, 398, 1, 1
3, A, 1060, 425, 2, 0B23, 1
0B23, C, 1028, 430, 2, 3, 5
0B24, C, 1012, 574, 1, 6
6, A, 1024, 561, 3, 4, 0B24, 0B25
0B25, C, 990, 582, 1, 6
8, ST, 1036, 610, 2, 9, 6
0B26, C, 1024, 639, 1, 8
